               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084816,             0.02869,            0.083781,             0.16129,             0.21308,            0.072121,            0.030091,            0.054391,            0.010454,            0.083093,            0.070789,           0.0032456,           0.0032456
                   1,            0.051152,            0.019533,              0.0786,             0.41033,            0.041453,             0.06164,             0.02885,            0.046146,           0.0063608,            0.080634,            0.040735,           0.0065247,           0.0065247
                   2,            0.045982,            0.015596,            0.075663,            0.033135,             0.51137,            0.064434,            0.026347,            0.051418,           0.0056436,            0.079729,            0.010626,           0.0097487,           0.0097487
                   3,             0.04077,            0.013376,            0.074568,             0.20455,             0.22253,            0.078928,            0.047865,            0.034867,           0.0053936,            0.078185,           0.0097525,           0.0097525,           0.0097525
                   4,             0.03638,            0.011753,            0.072103,             0.14995,             0.29496,             0.10946,            0.059401,            0.034474,           0.0048171,            0.078191,           0.0097525,           0.0097525,           0.0097525
                   5,            0.034095,            0.011184,            0.071496,             0.23388,             0.35217,             0.13164,            0.069975,            0.038432,           0.0049103,            0.074615,             0.00967,             0.00967,             0.00967
                   6,            0.032675,           0.0099367,            0.067764,             0.23869,             0.37827,             0.13813,            0.095401,            0.028325,           0.0043937,            0.070984,           0.0095875,           0.0095875,           0.0095875
                   7,            0.030553,           0.0098122,            0.066483,             0.33067,             0.35721,             0.16844,             0.11758,            0.028657,           0.0041265,            0.069453,            0.009505,            0.009505,            0.009505
                   8,            0.029736,            0.010022,            0.064167,              0.4048,             0.30963,             0.22322,             0.14259,            0.026342,           0.0041147,            0.068623,           0.0094225,           0.0094225,           0.0094225
                   9,            0.029784,            0.010063,            0.062198,             0.37014,             0.33963,             0.24195,             0.16304,            0.027937,           0.0039318,            0.066689,             0.00934,             0.00934,             0.00934
                  10,            0.028517,           0.0092814,            0.060671,             0.30328,             0.47808,             0.28733,             0.19161,            0.027977,           0.0037992,            0.063576,           0.0092575,           0.0092575,           0.0092575
                  11,            0.029467,           0.0092797,            0.059178,              0.4028,             0.52506,             0.34605,             0.23883,            0.026976,           0.0037216,             0.06122,            0.009175,            0.009175,            0.009175
                  12,            0.028951,           0.0090551,            0.055991,             0.41528,             0.51754,             0.36889,             0.25249,             0.02709,            0.003642,            0.059169,           0.0090925,           0.0090925,           0.0090925
                  13,            0.028354,           0.0090766,            0.053643,             0.38326,             0.58349,             0.37258,             0.27146,            0.024728,           0.0035989,            0.057796,             0.00901,             0.00901,             0.00901
                  14,            0.028456,           0.0092513,            0.052861,             0.43589,             0.53899,             0.40718,             0.27621,            0.024748,            0.003625,            0.055206,           0.0089275,           0.0089275,           0.0089275
                  15,            0.027741,           0.0088804,            0.052677,             0.50195,             0.57224,              0.4141,             0.29929,            0.025332,           0.0039496,            0.055286,            0.008845,            0.008845,            0.008845
                  16,            0.026404,           0.0092973,            0.050691,             0.41707,             0.61546,             0.42881,             0.30738,            0.023798,           0.0036809,             0.05519,           0.0087625,           0.0087625,           0.0087625
                  17,            0.026238,            0.009245,            0.047898,             0.35455,              0.6278,             0.45417,             0.33332,             0.02504,            0.003486,            0.052409,             0.00868,             0.00868,             0.00868
                  18,            0.025764,           0.0087404,            0.049969,              0.4538,             0.64296,             0.46083,             0.34947,            0.022629,           0.0036013,            0.051871,           0.0085975,           0.0085975,           0.0085975
                  19,            0.026747,           0.0086615,            0.048315,             0.38158,             0.70398,             0.47657,             0.33965,            0.022836,           0.0036468,            0.049582,            0.008515,            0.008515,            0.008515
                  20,            0.025561,           0.0085671,             0.04672,             0.49485,             0.67574,             0.48918,             0.37127,             0.02274,           0.0035701,             0.04979,           0.0084325,           0.0084325,           0.0084325
                  21,            0.024767,           0.0085696,            0.046304,             0.45323,             0.62985,             0.47323,             0.35302,            0.024793,           0.0036321,            0.049202,             0.00835,             0.00835,             0.00835
                  22,             0.02572,           0.0084025,            0.045336,             0.45581,             0.70009,              0.4956,             0.38375,               0.022,           0.0035843,            0.046906,           0.0082675,           0.0082675,           0.0082675
                  23,            0.024309,           0.0084965,            0.044486,             0.49555,             0.70621,              0.5181,             0.38032,            0.024544,            0.003612,            0.047141,            0.008185,            0.008185,            0.008185
                  24,            0.025288,           0.0085658,            0.043546,             0.47656,             0.64894,             0.50774,             0.37982,             0.02233,           0.0035113,            0.048354,           0.0081025,           0.0081025,           0.0081025
                  25,            0.025426,           0.0084054,            0.043249,             0.46108,             0.76877,             0.52499,             0.39402,            0.025254,           0.0036415,            0.046017,             0.00802,             0.00802,             0.00802
                  26,            0.025068,           0.0083699,            0.042242,             0.49434,             0.73908,              0.5522,             0.41993,             0.02267,           0.0035096,            0.045234,           0.0079375,           0.0079375,           0.0079375
                  27,             0.02536,           0.0083613,             0.04149,             0.51739,             0.77942,             0.57025,             0.44943,             0.02263,           0.0034345,               0.042,            0.007855,            0.007855,            0.007855
                  28,            0.025436,           0.0083586,            0.040329,             0.50473,             0.78709,             0.57528,             0.43053,            0.023648,           0.0034452,            0.039505,           0.0077725,           0.0077725,           0.0077725
                  29,            0.024862,           0.0082829,             0.03951,             0.50507,             0.75721,             0.57757,             0.44774,            0.023775,           0.0032946,            0.041087,             0.00769,             0.00769,             0.00769
                  30,             0.02445,           0.0080795,            0.039669,             0.51272,             0.70929,             0.57347,             0.44701,            0.023542,           0.0033959,            0.042129,           0.0076075,           0.0076075,           0.0076075
                  31,            0.024427,            0.008006,            0.038739,              0.5311,             0.74841,             0.61065,             0.45157,            0.023028,           0.0033492,            0.038654,            0.007525,            0.007525,            0.007525
